id,centroidX,centroidY,GOS,shapeFactor,perimeter,equivalentPerimeter,equivalentRadius,diameter,grainSize,area,aspectRatio,boundarySize,numNeighbors,paris,ellipsOmega,ellipsA,ellipsB,sphericity
2,818.376970649925,667.320505104342,1.12346298511599,1.26136639455799,28.2389754026988,22.3876072206555,3.56309835316713,8.44534502190778,35,39.8846232096352,1.20380150471805,50,2,21.2574151464903,2.82522178331425,3.9093562766953,3.24750904644444,0.396395529607564
3,2632.0432836086,669.040845354948,0.87137586818164,1.14184227466427,39.9611429330455,34.9970778098884,5.56995792721542,13.0896519914707,94,97.4661254882812,1.29797328697712,76,1,12.7013921363204,3.03670391556973,6.3457767913211,4.88898874498405,0.437888849532227
4,1997.20653744528,675.049545613971,1.50092021355866,1.26751994053031,28.5556741217744,22.5287770303852,3.58556622620095,10.290232693622,34,40.3892110188804,1.81780332043716,53,2,9.92584258049704,3.06094948868112,4.83427325012046,2.65940390567549,0.394471111666148
6,828.998219075935,733.681646636403,0.233238986376737,1.06981964636336,22.5332288696225,21.0626426110416,3.35222368612526,8.01603998072965,30,35.3033447265625,1.36522835064876,39,1,1.66063317587493,3.0450718242932,3.91683827078618,2.86899863229831,0.467368496829956
8,3382.26248105914,727.976904337012,0.267806276582318,1.24577883196823,66.3005768067679,53.2201825118657,8.47025511901627,27.4146402493266,209,225.394261678055,2.66187391021681,120,2,6.66003655103805,1.75886601159696,13.8194332026372,5.19161826170482,0.401355350700606
10,2221.32216582489,751.850406170512,0.220065550418036,1.17652576857472,44.8544286776618,38.1244762127054,6.06769884204145,14.5773797371133,98,115.663920084635,1.17124238779597,77,2,7.8518323677285,1.10972772323287,6.56670350795492,5.60661360652434,0.424980067037304
11,2925.89346562577,803.532931615871,0.202982567554728,1.41106448165521,152.956080912247,108.397655033331,17.2520226181247,57.6079393472419,895,935.039398193356,2.10568266392503,268,3,10.1979959765366,1.18786089647158,25.0343592192766,11.888951572889,0.354342417728133
12,2835.27508107681,823.154495068577,2.95555582592508,1.16986945232323,32.3554405443311,27.6573086681398,4.40179738715277,12.3487873671254,29,60.8709345155476,2.09436830746059,42,2,4.21904837735621,2.01136392809368,6.37025147357368,3.04160994552938,0.427398116094968
13,2891.17003678139,839.849835041199,0.948848272222612,1.13933100228001,46.8698897523243,41.1380798543436,6.5473287581279,17.5253784235575,113,134.672266642253,1.57455493665044,80,3,6.32458926891212,2.76234751248379,8.21567134087224,5.21777370204021,0.438854028372272
14,2847.16126884674,844.152948981134,0.225087569272874,1.21427600647304,53.0265595837454,43.6692805433627,6.95018185974291,19.0814174848694,124,151.754720730252,1.57485971653765,85,2,7.51995231804421,2.82294858857323,8.72202055259853,5.53828411572683,0.411767997831307
