21.61948005,96.55903826,63.67089405
-96.80415523,56.91819633,196.9363912
64.821198,76.91048871,13.21454427
0,0,0
0,0,0
131.0279936,98.34552221,-197.3244369
0,0,0
0,0,0
-62.77472471,75.71669789,-76.37873336
0,0,0
-89.65563253,62.99927792,218.8162029
93.26707281,46.35504331,-120.245653
0,0,0
0,0,0
-202.0071177,54.07111435,78.36438959
0,0,0
0,0,0
-6.464164445,90.59061677,53.39323276
-64.43735397,82.74051198,6.211279625
0,0,0
177.1501652,66.03852157,-105.0368497
0,0,0
-172.8702924,83.57954426,71.74994935
0,0,0
108.7753562,138.5331081,-3.213514728
0,0,0
32.18854197,57.58072732,56.13971109
-164.011955,72.85828488,53.78430033
-61.00615283,78.45707993,71.09781501
20.60319123,79.33566562,77.57459619
-88.83785091,83.83139876,51.94544482
0,0,0
0,0,0
-42.30244691,96.60434231,65.16268343
0,0,0
0,0,0
65.59837444,137.9945841,74.59610448
-10.31700864,154.8296766,-105.3633269
-12.65547914,91.96126512,126.4567426
0,0,0
117.4601465,136.2565721,-231.2386513
-146.2616921,88.60232091,131.5524184
0,0,0
-138.3886238,55.14898211,126.064741
0,0,0
0,0,0
0,0,0
-14.6971623,39.23545476,-152.0183406
-50.05638272,95.41647994,15.44065931
-43.08939054,142.8337069,142.0344343
